study_id,facet,code,character,finder_group,review_status
cov1186,organism,FISH,,Fish,draft
cov1186,sample_type,GI_CONTENTS,GUT,,draft
cov1237,organism,BIVALVE,,Bivalve,draft
cov1237,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov1263,organism,ANNELID,,Other invertebrate,reviewed
cov1263,organism,ECHINODERM,,Other invertebrate,reviewed
cov1263,organism,INVERT_MIXED,,Other invertebrate,reviewed
cov1263,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov1273,organism,ALGA,,Plant or alga,reviewed
cov1273,sample_type,PLANT_TISSUE,PLANT,,reviewed
cov1273,environment_sample,SEAWATER,,,reviewed
cov1298,organism,MAMMAL,,Mammal (non-human),draft
cov1298,sample_type,GI_TRACT,GUT,,draft
cov1298,sample_type,MUSCLE,PROTEIN,,draft
cov1298,sample_type,ADIPOSE,LIPID,,draft
cov1298,sample_type,FECES,FECAL,,draft
cov1314,organism,INSECT,,Other invertebrate,draft
cov1314,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1315,organism,FISH,,Fish,draft
cov1315,sample_type,GI_TRACT,GUT,,draft
cov1315,sample_type,GILL,PROTEIN,,draft
cov1315,sample_type,MUSCLE,PROTEIN,,draft
cov1330,organism,ALGA,,Plant or alga,reviewed
cov1330,organism,FOOD_PRODUCT,,Food product,reviewed
cov1330,sample_type,PLANT_TISSUE,PLANT,,reviewed
cov1330,sample_type,FOOD,FOOD,,reviewed
cov1346,organism,ELASMO,,Fish,reviewed
cov1346,sample_type,GI_CONTENTS,GUT,,reviewed
cov1346,sample_type,GI_TRACT,GUT,,reviewed
cov1359,organism,HUMAN,,Human,draft
cov1359,sample_type,BODY_FLUID,AQUEOUS,,draft
cov1376,organism,CRUSTACEAN,,Crustacean,reviewed
cov1376,organism,FISH,,Fish,reviewed
cov1376,organism,CEPHALOPOD,,Other invertebrate,reviewed
cov1376,sample_type,GI_TRACT,GUT,,reviewed
cov1376,sample_type,GILL,PROTEIN,,reviewed
cov1376,sample_type,MUSCLE,PROTEIN,,reviewed
cov1384,organism,FISH,,Fish,draft
cov1384,sample_type,GI_TRACT,GUT,,draft
cov1384,sample_type,GILL,PROTEIN,,draft
cov1384,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1384,sample_type,ORGAN,PROTEIN,,draft
cov1387,organism,FISH,,Fish,draft
cov1387,sample_type,GI_CONTENTS,GUT,,draft
cov1387,sample_type,GI_TRACT,GUT,,draft
cov1395,organism,FISH,,Fish,draft
cov1395,sample_type,GI_TRACT,GUT,,draft
cov1395,sample_type,GILL,PROTEIN,,draft
cov1395,sample_type,MUSCLE,PROTEIN,,draft
cov1410,organism,CRUSTACEAN,,Crustacean,reviewed
cov1410,sample_type,GI_TRACT,GUT,,reviewed
cov1429,organism,CRUSTACEAN,,Crustacean,draft
cov1429,sample_type,GI_TRACT,GUT,,draft
cov1484,organism,MAMMAL,,Mammal (non-human),draft
cov1484,sample_type,BLOOD,BLOOD,,draft
cov1484,sample_type,BODY_FLUID,AQUEOUS,,draft
cov1484,sample_type,FECES,FECAL,,draft
cov1497,organism,GASTROPOD,,Other invertebrate,reviewed
cov1497,sample_type,FECES,FECAL,,reviewed
