study_id,facet,code,character,finder_group,review_status
cov3402,organism,BIRD,,Bird,draft
cov3402,sample_type,GI_CONTENTS,GUT,,draft
cov3402,sample_type,GI_TRACT,GUT,,draft
cov3443,organism,CNIDARIAN,,Other invertebrate,reviewed
cov3443,sample_type,TISSUE,PROTEIN,,reviewed
cov3443,environment_sample,SEAWATER,,,reviewed
cov3499,organism,BIVALVE,,Bivalve,draft
cov3499,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov3499,environment_sample,SEAWATER,,,draft
cov3499,environment_sample,SEDIMENT,,,draft
cov3508,organism,BIVALVE,,Bivalve,reviewed
cov3508,organism,CRUSTACEAN,,Crustacean,reviewed
cov3508,organism,FISH,,Fish,reviewed
cov3508,sample_type,GI_TRACT,GUT,,reviewed
cov3508,sample_type,GILL,PROTEIN,,reviewed
cov3508,environment_sample,FRESHWATER,,,reviewed
cov3508,environment_sample,SEDIMENT,,,reviewed
cov3514,organism,CRUSTACEAN,,Crustacean,reviewed
cov3514,organism,FISH,,Fish,reviewed
cov3514,sample_type,GI_TRACT,GUT,,reviewed
cov3517,organism,CRUSTACEAN,,Crustacean,draft
cov3517,sample_type,GI_TRACT,GUT,,draft
cov3517,sample_type,GILL,PROTEIN,,draft
cov3599,organism,CRUSTACEAN,,Crustacean,reviewed
cov3599,organism,FISH,,Fish,reviewed
cov3599,organism,ZOOPLANKTON,,Other invertebrate,reviewed
cov3599,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov3599,environment_sample,SEAWATER,,,reviewed
cov3661,organism,MAMMAL,,Mammal (non-human),reviewed
cov3661,sample_type,GI_CONTENTS,GUT,,reviewed
cov3714,organism,BIVALVE,,Bivalve,reviewed
cov3714,organism,CRUSTACEAN,,Crustacean,reviewed
cov3714,organism,FISH,,Fish,reviewed
cov3714,sample_type,GI_TRACT,GUT,,reviewed
cov3714,sample_type,GILL,PROTEIN,,reviewed
cov3714,sample_type,MUSCLE,PROTEIN,,reviewed
cov3714,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov3714,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov3727,organism,BIVALVE,,Bivalve,draft
cov3727,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov3730,organism,HUMAN,,Human,draft
cov3730,organism,CELL_CULTURE,,Cell culture,draft
cov3730,sample_type,CELLS,CELLS,,draft
cov3741,organism,CRUSTACEAN,,Crustacean,draft
cov3741,sample_type,GI_TRACT,GUT,,draft
cov3741,sample_type,GILL,PROTEIN,,draft
cov3793,organism,MAMMAL,,Mammal (non-human),draft
cov3793,sample_type,GI_TRACT,GUT,,draft
cov3793,sample_type,ORGAN,PROTEIN,,draft
cov3810,organism,CRUSTACEAN,,Crustacean,draft
cov3810,sample_type,GI_CONTENTS,GUT,,draft
cov3810,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov3820,organism,CRUSTACEAN,,Crustacean,draft
cov3820,sample_type,GI_TRACT,GUT,,draft
cov3831,organism,CNIDARIAN,,Other invertebrate,draft
cov3831,sample_type,SKELETAL,MINERAL,,draft
cov3831,environment_sample,SEAWATER,,,draft
cov3831,environment_sample,SEDIMENT,,,draft
cov3853,organism,BIVALVE,,Bivalve,draft
cov3853,sample_type,GI_TRACT,GUT,,draft
cov3853,sample_type,GILL,PROTEIN,,draft
cov3853,sample_type,FECES,FECAL,,draft
cov3863,organism,BIVALVE,,Bivalve,draft
cov3863,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov3863,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov3863,sample_type,SKELETAL,MINERAL,,draft
cov3863,environment_sample,SEAWATER,,,draft
cov3863,environment_sample,SEDIMENT,,,draft
cov3867,organism,HUMAN,,Human,reviewed
cov3867,sample_type,REPRODUCTIVE,PROTEIN,,reviewed
cov3867,sample_type,PRIMARY_CELLS,CELLS,,reviewed
cov3868,organism,CRUSTACEAN,,Crustacean,reviewed
cov3868,organism,INSECT,,Other invertebrate,reviewed
cov3868,organism,ANNELID,,Other invertebrate,reviewed
cov3868,organism,NEMATODE,,Other invertebrate,reviewed
cov3868,organism,INVERT_MIXED,,Other invertebrate,reviewed
cov3868,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov3985,organism,HUMAN,,Human,draft
cov3985,sample_type,BODY_FLUID,AQUEOUS,,draft
cov4078,organism,SPONGE,,Other invertebrate,reviewed
cov4078,sample_type,TISSUE,PROTEIN,,reviewed
cov4348,organism,AMPHIBIAN,,Other vertebrate,reviewed
cov4348,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov4364,organism,BIVALVE,,Bivalve,draft
cov4364,sample_type,GI_TRACT,GUT,,draft
cov4364,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov4596,organism,FISH,,Fish,reviewed
cov4596,organism,INSECT,,Other invertebrate,reviewed
cov4596,organism,PLANT,,Plant or alga,reviewed
cov4596,sample_type,GI_TRACT,GUT,,reviewed
cov4596,sample_type,GILL,PROTEIN,,reviewed
cov4596,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov4596,sample_type,ORGAN,PROTEIN,,reviewed
cov4596,sample_type,FECES,FECAL,,reviewed
cov4596,sample_type,PLANT_TISSUE,PLANT,,reviewed
cov4596,environment_sample,SOIL,,,reviewed
cov4597,organism,BIVALVE,,Bivalve,draft
cov4597,sample_type,GI_TRACT,GUT,,draft
cov4597,sample_type,GILL,PROTEIN,,draft
cov4598,organism,HUMAN,,Human,reviewed
cov4598,organism,CELL_CULTURE,,Cell culture,reviewed
cov4598,sample_type,CELLS,CELLS,,reviewed
cov4599,organism,HUMAN,,Human,draft
cov4599,sample_type,ORGAN,PROTEIN,,draft
cov4600,organism,CRUSTACEAN,,Crustacean,reviewed
cov4600,organism,FISH,,Fish,reviewed
cov4600,sample_type,GI_TRACT,GUT,,reviewed
cov4600,sample_type,GILL,PROTEIN,,reviewed
cov4600,sample_type,MUSCLE,PROTEIN,,reviewed
cov4600,sample_type,ORGAN,PROTEIN,,reviewed
cov4602,organism,HUMAN,,Human,draft
cov4602,sample_type,BODY_FLUID,AQUEOUS,,draft
cov4604,organism,FISH,,Fish,draft
cov4604,sample_type,ORGAN,PROTEIN,,draft
cov4605,organism,BIRD,,Bird,draft
cov4605,sample_type,GI_CONTENTS,GUT,,draft
cov4606,organism,FISH,,Fish,draft
cov4606,sample_type,GI_TRACT,GUT,,draft
cov4606,sample_type,GILL,PROTEIN,,draft
cov4606,sample_type,MUSCLE,PROTEIN,,draft
cov4607,organism,CEPHALOPOD,,Other invertebrate,reviewed
cov4607,sample_type,GI_TRACT,GUT,,reviewed
cov4607,sample_type,GILL,PROTEIN,,reviewed
cov4607,sample_type,MUSCLE,PROTEIN,,reviewed
cov4608,organism,MAMMAL,,Mammal (non-human),draft
cov4608,sample_type,FECES,FECAL,,draft
cov4608,environment_sample,SOIL,,,draft
cov4610,organism,BIVALVE,,Bivalve,reviewed
cov4610,organism,CRUSTACEAN,,Crustacean,reviewed
cov4610,organism,FISH,,Fish,reviewed
cov4610,sample_type,GI_TRACT,GUT,,reviewed
cov4610,sample_type,MUSCLE,PROTEIN,,reviewed
cov4610,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov4610,sample_type,SKELETAL,MINERAL,,reviewed
cov4611,organism,FISH,,Fish,draft
cov4611,sample_type,GI_CONTENTS,GUT,,draft
cov4611,sample_type,GI_TRACT,GUT,,draft
cov4612,organism,FISH,,Fish,draft
cov4612,sample_type,GI_TRACT,GUT,,draft
cov4614,organism,FISH,,Fish,draft
cov4614,sample_type,MUSCLE,PROTEIN,,draft
cov4614,sample_type,SECTION,SECTION,,draft
cov4615,organism,CRUSTACEAN,,Crustacean,draft
cov4615,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov4615,environment_sample,FRESHWATER,,,draft
cov4615,environment_sample,SEDIMENT,,,draft
cov4618,organism,CNIDARIAN,,Other invertebrate,reviewed
cov4618,sample_type,SKELETAL,MINERAL,,reviewed
cov4618,sample_type,SECTION,SECTION,,reviewed
cov4619,organism,BIVALVE,,Bivalve,draft
cov4619,organism,FISH,,Fish,draft
cov4619,sample_type,GI_TRACT,GUT,,draft
cov4619,sample_type,MUSCLE,PROTEIN,,draft
cov4619,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov4619,sample_type,ORGAN,PROTEIN,,draft
cov4619,sample_type,FOOD,FOOD,,draft
cov4620,organism,INSECT,,Other invertebrate,draft
cov4620,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov4620,environment_sample,WASTEWATER,,,draft
cov4623,organism,BIVALVE,,Bivalve,draft
cov4623,sample_type,MUSCLE,PROTEIN,,draft
cov4623,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov4627,organism,BIVALVE,,Bivalve,draft
cov4627,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov4628,organism,FISH,,Fish,draft
cov4628,sample_type,GILL,PROTEIN,,draft
cov4628,sample_type,MUSCLE,PROTEIN,,draft
cov4628,sample_type,ORGAN,PROTEIN,,draft
cov4629,organism,FISH,,Fish,draft
cov4629,sample_type,GI_CONTENTS,GUT,,draft
cov4629,sample_type,GI_TRACT,GUT,,draft
cov4630,organism,BIRD,,Bird,draft
cov4630,sample_type,GI_CONTENTS,GUT,,draft
cov4630,sample_type,GI_TRACT,GUT,,draft
cov4631,organism,FISH,,Fish,draft
cov4631,sample_type,GI_TRACT,GUT,,draft
cov4632,organism,BIRD,,Bird,draft
cov4632,sample_type,FECES,FECAL,,draft
cov4633,organism,FISH,,Fish,draft
cov4633,sample_type,GI_TRACT,GUT,,draft
cov4634,organism,FISH,,Fish,reviewed
cov4634,organism,INVERT_MIXED,,Other invertebrate,reviewed
cov4634,sample_type,GI_TRACT,GUT,,reviewed
cov4634,sample_type,GILL,PROTEIN,,reviewed
cov4634,sample_type,MUSCLE,PROTEIN,,reviewed
cov4634,sample_type,ORGAN,PROTEIN,,reviewed
cov4634,sample_type,SKELETAL,MINERAL,,reviewed
cov4634,environment_sample,FRESHWATER,,,reviewed
cov4634,environment_sample,SEDIMENT,,,reviewed
cov4636,organism,BIVALVE,,Bivalve,reviewed
cov4636,organism,CRUSTACEAN,,Crustacean,reviewed
cov4636,organism,ANNELID,,Other invertebrate,reviewed
cov4636,sample_type,GI_TRACT,GUT,,reviewed
cov4636,sample_type,GILL,PROTEIN,,reviewed
cov4636,sample_type,FECES,FECAL,,reviewed
cov4636,sample_type,SECTION,SECTION,,reviewed
cov4636,sample_type,REPRODUCTIVE,PROTEIN,,reviewed
cov4638,organism,FISH,,Fish,draft
cov4638,sample_type,GI_CONTENTS,GUT,,draft
cov4639,organism,FISH,,Fish,draft
cov4639,sample_type,GI_TRACT,GUT,,draft
cov4639,sample_type,MUSCLE,PROTEIN,,draft
cov4639,sample_type,ORGAN,PROTEIN,,draft
cov4645,organism,BIVALVE,,Bivalve,draft
cov4645,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov4646,organism,BIVALVE,,Bivalve,draft
cov4646,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov4648,organism,MAMMAL,,Mammal (non-human),draft
cov4648,sample_type,GI_TRACT,GUT,,draft
cov4648,sample_type,FECES,FECAL,,draft
cov4649,organism,HUMAN,,Human,draft
cov4649,sample_type,BLOOD,BLOOD,,draft
cov4650,organism,CRUSTACEAN,,Crustacean,reviewed
cov4650,sample_type,GI_TRACT,GUT,,reviewed
cov4652,organism,FISH,,Fish,draft
cov4652,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov4652,sample_type,FOOD,FOOD,,draft
cov2826,organism,CRUSTACEAN,,Crustacean,draft
cov2826,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov2826,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2826,sample_type,SKELETAL,MINERAL,,draft
cov2826,environment_sample,FRESHWATER,,,draft
cov2826,environment_sample,SEDIMENT,,,draft
cov3533,organism,HUMAN,,Human,reviewed
cov3533,organism,CELL_CULTURE,,Cell culture,reviewed
cov3533,sample_type,ORGAN,PROTEIN,,reviewed
cov3533,sample_type,CELLS,CELLS,,reviewed
cov4341,organism,HUMAN,,Human,reviewed
cov4341,organism,MAMMAL,,Mammal (non-human),reviewed
cov4341,sample_type,ORGAN,PROTEIN,,reviewed
cov4341,sample_type,BLOOD,BLOOD,,reviewed
cov4341,sample_type,PRIMARY_CELLS,CELLS,,reviewed
cov4625,organism,MAMMAL,,Mammal (non-human),draft
cov4625,sample_type,ORGAN,PROTEIN,,draft
cov4625,sample_type,ADIPOSE,LIPID,,draft
cov4641,organism,CRUSTACEAN,,Crustacean,reviewed
cov4641,organism,CNIDARIAN,,Other invertebrate,reviewed
cov4641,organism,ZOOPLANKTON,,Other invertebrate,reviewed
cov4641,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov4641,environment_sample,SEAWATER,,,reviewed
cov4647,organism,FISH,,Fish,draft
cov4647,sample_type,MUSCLE,PROTEIN,,draft
cov4647,environment_sample,FRESHWATER,,,draft
cov4647,environment_sample,SEDIMENT,,,draft
cov1388,organism,ELASMO,,Fish,reviewed
cov1388,sample_type,GI_TRACT,GUT,,reviewed
cov1388,environment_sample,SEDIMENT,,,reviewed
